X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Filing_Date,Purchase_Value
,2022-05-18 20:19:56,2022-05-13,TWTR  ,"Twitter, Inc.                                    ",Saud H R H Prince Alwaleed Bin Talal Bin Abdulaziz Al     ,Possible member of 10% group         ,P - Purchase,$40.73          ,"+490,000    ","34,948,975   ",+1%  ,"+$19,957,700   ",,,,,2022-05-18,19957700.0
M  ,2022-05-18 20:01:10,2022-05-16,PRPL  ,"Purple Innovation, Inc.                          ","Coliseum Capital Management, LLC                        ","Dir, 10%                           ",P - Purchase,$4.66           ,"+3,354,784  ","75,509,528   ",+5%  ,"+$15,632,797   ",,,,,2022-05-18,15632797.0
,2022-05-18 15:42:44,2022-05-17,PARA  ,Paramount Global                                   ,National Amusements Inc /md/                              ,"Dir, 10%                           ",P - Purchase,$32.37          ,"+646,764    ","32,012,190   ",+2%  ,"+$20,935,233   ",,,,,2022-05-18,20935233.0
D  ,2022-05-17 20:08:00,2022-05-13,COIN  ,"Coinbase Global, Inc.                            ",Ehrsam Frederick Ernest III                               ,Dir                                  ,P - Purchase,$70.77          ,"+706,554    ","4,423,771    ",+19% ,"+$50,000,176   ",,,,,2022-05-17,50000176.0
M  ,2022-05-17 18:08:40,2022-05-13,SIX   ,Six Flags Entertainment Corp                       ,Ruchim Arik W                                             ,"Dir, 10%                           ",P - Purchase,$28.86          ,"+425,000    ","9,350,000    ",+5%  ,"+$12,263,699   ",,,,,2022-05-17,12263699.0
M  ,2022-05-17 18:05:56,2022-05-13,SIX   ,Six Flags Entertainment Corp                       ,Jaffer Rehan                                              ,10%                                  ,P - Purchase,$28.86          ,"+425,000    ","9,350,000    ",+5%  ,"+$12,263,699   ",,,,,2022-05-17,12263699.0
M  ,2022-05-16 21:19:16,2022-05-12,AMH   ,American Homes 4 Rent                              ,Gustavson Tamara Hughes                                   ,Dir                                  ,P - Purchase,$36.63          ,"+755,000    ","20,999,859   ",+4%  ,"+$27,659,009   ",,,,,2022-05-16,27659009.0
M  ,2022-05-16 19:34:33,2022-05-12,CGEM  ,"Cullinan Oncology, Inc.                          ",Bvf Partners L P/il                                       ,10%                                  ,P - Purchase,$9.07           ,"+1,109,900  ","319,415      ",-140%,"+$10,063,937   ",,,,,2022-05-16,10063937.0
M  ,2022-05-16 16:47:15,2022-05-12,DISH  ,Dish Network Corp                                  ,Defranco James                                            ,Dir                                  ,P - Purchase,$19.43          ,"+1,250,000  ","6,580,010    ",+23% ,"+$24,284,451   ",,,,,2022-05-16,24284451.0
M  ,2022-05-16 16:22:15,2022-05-12,PRPL  ,"Purple Innovation, Inc.                          ","Coliseum Capital Management, LLC                        ","Dir, 10%                           ",P - Purchase,$3.90           ,"+4,098,927  ","69,633,450   ",+6%  ,"+$16,000,280   ",,,,,2022-05-16,16000280.0
DM ,2022-05-12 21:33:43,2022-05-10,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$57.32          ,"+901,774    ","143,262,392  ",+1%  ,"+$51,690,341   ",,,,,2022-05-12,51690341.0
D  ,2022-05-12 19:06:36,2022-05-10,PEPG  ,Pepgen Inc.                                        ,"Ra Capital Management, L.P.                             ","Dir, 10%                           ",P - Purchase,$12.00          ,"+3,229,200  ","207,672      ",-107%,"+$38,750,400   ",,,,,2022-05-12,38750400.0
M  ,2022-05-12 18:44:48,2022-05-10,GTLB  ,Gitlab Inc.                                        ,"Gv 2021 Gp, L.L.C.                                      ",Member of 10% Group                  ,P - Purchase,$34.66          ,"+331,783    ","555,831      ",+148%,"+$11,500,717   ",,,,,2022-05-12,11500717.0
,2022-05-12 17:29:33,2022-05-10,RAPT  ,"Rapt Therapeutics, Inc.                          ","Column Group Ii, LP                                     ",10%                                  ,P - Purchase,$10.67          ,"+1,250,000  ","3,188,239    ",+64% ,"+$13,339,375   ",,,,,2022-05-12,13339375.0
,2022-05-12 17:28:21,2022-05-10,RAPT  ,"Rapt Therapeutics, Inc.                          ","Column Group Ii, LP                                     ",10%                                  ,P - Purchase,$10.67          ,"+1,250,000  ","3,188,239    ",+64% ,"+$13,339,375   ",,,,,2022-05-12,13339375.0
M  ,2022-05-12 17:20:18,2022-05-10,NSIT  ,Insight Enterprises Inc                            ,"Valueact Holdings, L.P.                                 ","See Remarks, 10%                   ",P - Purchase,$97.80          ,"+120,000    ","3,663,143    ",+3%  ,"+$11,736,000   ",,,,,2022-05-12,11736000.0
,2022-05-12 17:17:06,2022-05-10,APPN  ,Appian Corp                                        ,"Abdiel Capital Management, LLC                          ",10%                                  ,P - Purchase,$56.89          ,"+650,000    ","15,295,724   ",+4%  ,"+$36,976,644   ",,,,,2022-05-12,36976644.0
M  ,2022-05-11 19:06:12,2022-05-09,DFIN  ,"Donnelley Financial Solutions, Inc.              ",Jacobowitz Jeffrey                                        ,"Dir, 10%                           ",P - Purchase,$26.60          ,"+494,725    ","3,830,813    ",+15% ,"+$13,157,952   ",,,,,2022-05-11,13157952.0
M  ,2022-05-11 18:20:00,2022-05-09,DFIN  ,"Donnelley Financial Solutions, Inc.              ","Simcoe Capital Management, LLC                          ",10%                                  ,P - Purchase,$26.61          ,"+494,725    ","3,794,725    ",+15% ,"+$13,165,509   ",,,,,2022-05-11,13165509.0
M  ,2022-05-11 17:49:29,2022-05-09,GRPN  ,"Groupon, Inc.                                    ",Barta Jan                                                 ,"See Footnote 1, 10%                ",P - Purchase,$14.31          ,"+1,651,277  ","3,703,352    ",+80% ,"+$23,629,504   ",,,,,2022-05-11,23629504.0
,2022-05-11 10:12:26,2022-05-09,DUOL  ,"Duolingo, Inc.                                   ",Durable Capital Partners LP                               ,10%                                  ,P - Purchase,$75.29          ,"+136,968    ","3,361,913    ",+4%  ,"+$10,311,726   ",,,,,2022-05-11,10311726.0
D  ,2022-05-10 18:32:26,2022-05-09,PRM   ,"Perimeter Solutions, Sa                          ","Windacre Partnership Master Fund, LP                    ",10%                                  ,P - Purchase,$8.65           ,"+1,600,000  ","21,600,000   ",+8%  ,"+$13,840,000   ",,,,,2022-05-10,13840000.0
M  ,2022-05-10 17:33:53,2022-05-06,FISV  ,Fiserv Inc                                         ,"Valueact Holdings, L.P.                                 ",See remarks                          ,P - Purchase,$94.22          ,"+500,000    ","13,647,776   ",+4%  ,"+$47,111,993   ",,,,,2022-05-10,47111993.0
M  ,2022-05-10 16:38:13,2022-05-06,HCP   ,"Hashicorp, Inc.                                  ",Solomon Glenn                                             ,Dir                                  ,P - Purchase,$37.73          ,"+412,274    ","476,847      ",+638%,"+$15,556,033   ",,,,,2022-05-10,15556033.0
M  ,2022-05-10 16:36:06,2022-05-06,HCP   ,"Hashicorp, Inc.                                  ",Ggv Capital Select L.L.C.                                 ,10%                                  ,P - Purchase,$37.73          ,"+412,274    ","476,666      ",+640%,"+$15,556,033   ",,,,,2022-05-10,15556033.0
M  ,2022-05-09 20:34:39,2022-05-05,APPN  ,Appian Corp                                        ,"Abdiel Capital Management, LLC                          ",10%                                  ,P - Purchase,$45.13          ,"+784,538    ","13,875,434   ",+6%  ,"+$35,403,206   ",,,,,2022-05-09,35403206.0
M  ,2022-05-09 17:24:43,2022-05-06,IHRT  ,"Iheartmedia, Inc.                                ",Global Media & Entertainment Investments Ltd              ,10%                                  ,P - Purchase,$13.31          ,"+7,167,933  ","54,420,000   ",+15% ,"+$95,416,330   ",,,,,2022-05-09,95416330.0
,2022-05-09 06:04:35,2022-05-05,ANAB  ,"Anaptysbio, Inc                                  ","Ecor1 Capital, LLC                                      ",10%                                  ,P - Purchase,$21.63          ,"+668,237    ","15,042,048   ",+5%  ,"+$14,453,966   ",,,,,2022-05-09,14453966.0
,2022-05-09 06:01:38,2022-05-05,PRTA  ,Prothena Corp Public Ltd Co                        ,"Ecor1 Capital, LLC                                      ",10%                                  ,P - Purchase,$29.02          ,"+1,062,736  ","23,168,560   ",+5%  ,"+$30,840,599   ",,,,,2022-05-09,30840599.0
,2022-05-05 19:27:21,2022-04-29,SMFR  ,Sema4 Holdings Corp.                               ,Icahn School of Medicine At Mount Sinai                   ,10%                                  ,P - Purchase,$4.00           ,"+6,250,000  ","94,605,473   ",+7%  ,"+$25,000,000   ",,,,,2022-05-05,25000000.0
M  ,2022-05-05 17:29:29,2022-05-03,IHRT  ,"Iheartmedia, Inc.                                ",Global Media & Entertainment Investments Ltd              ,10%                                  ,P - Purchase,$16.19          ,"+1,524,348  ","47,252,067   ",+3%  ,"+$24,685,469   ",,,,,2022-05-05,24685469.0
DM ,2022-05-04 20:27:02,2022-05-02,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$57.11          ,"+5,887,618  ","142,360,618  ",+4%  ,"+$336,223,675  ",,,,,2022-05-04,336223675.0
,2022-05-04 17:52:43,2022-05-02,HCA   ,"Hca Healthcare, Inc.                             ",Frist Thomas F Jr                                         ,10%                                  ,P - Purchase,$211.93         ,"+89,100     ","37,721,039   ",0%   ,"+$18,883,001   ",,,,,2022-05-04,18883001.0
